ra,dec,parallax,U,B,V,R,I
345.83436417916994,59.43612345083,1.8979,,11.18,10.87,,
345.81601563822,59.43268201111998,0.9924,,10.69,10.45,,
345.81728995318,59.48591901206,1.3482,,,,,
345.57820980723,59.427884868419994,0.5497,,13.04,11.82,,
345.61769194357,59.45771678203,2.0449,,10.26,10.07,,
345.59142405393,59.477867998079994,1.8436,,11.27,9.82,,
345.74457386182,59.52549712682001,2.8239,,10.73,10.21,,
345.48469126879,59.481491189189995,2.9047,,11.85,11.15,,
345.58391347629,59.54258580580001,0.9297,,12.95,11.19,,
345.67130157889,59.55778033097,2.6665,,9.02,7.54,,
345.75192845819,59.59947652723,1.9321,,11.28,10.73,,
345.65576035036,59.60505987342,6.8108,,7.61,7.29,,
345.64474258218996,59.641776698060006,4.255,,12.11,11.82,,
345.89286426186993,59.45453301447,2.4274,,,,,
345.82762539019,59.472351012770005,1.7488,,11.93,11.78,,
345.8958760775299,59.6292970943,0.2998,,12.58,10.81,,
345.79454928633,59.65864983358999,1.0878,,11.16,10.88,,
345.75489572586,59.67643785645999,1.8913,,14.03,13.36,13.22,
345.5610801422499,59.61019251057001,0.3002,,11.89,11.8,,
345.80165699363374,59.442109041333595,1.8619,,,,,
345.47433146759664,59.435475093413054,1.8481,,,,,
345.97230199898667,59.492136776738334,2.1225,,,,,
345.9251053358113,59.656198907038046,1.8611,,,,,
345.40653288133495,59.60359986054972,2.0045,,,,,
345.39269230288994,59.50768360074,2.0369,,,,,
345.5323960828261,59.5551222231727,0.0885,,10.39,10.17,,
345.7356925677299,59.620928351669995,1.0871,,12.24,11.82,,
345.875,59.56666666666667,,,12.92,12.38,,
345.41334088523,59.465040566830005,1.2542,,10.71,10.7,,
345.94053712715,59.523000221989996,0.1896,,,,15.95,
345.67089851015,59.50285961515999,0.2665,,14.77,14.04,13.84,
345.95615294732,59.501009840170006,0.5794,,15.75,14.89,14.71,